"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2013,40,34197,29,28.5,NA,2,2,0,0,193,142,73.6,14,36.8,2,NA,123,NA,NA,3.24,NA,0.28,NA,2,"West Ham 2013",NA,NA,"West Ham"
2017,42,56885,27,28,45,2,4,NA,NA,180,113,65,10,26.3,6,369,128,34.7,9.71,3.37,0.12,0.36,17.4,2,"West Ham 2017",1,0,"West Ham"
2018,52,58336,26,27.6,48.7,5,5,59,1,192,138,73.4,7,18.4,5,438,148,33.8,11.53,3.89,0.11,0.31,16.6,5,"West Ham 2018",1,0,"West Ham"
2019,39,44155,29,27.4,44,4,4,64,1,178,124,68,7,18.4,6,414,157,37.9,10.89,4.13,0.11,0.29,15.6,4,"West Ham 2019",1,0,"West Ham"
2020,65,632,24,27.8,42.9,2,4,50,3,143,102,69.2,11,28.9,6,462,158,34.2,12.16,4.16,0.13,0.37,15.4,2,"West Ham 2020",2,1,"West Ham"
2021,56,58370,25,28.2,47.8,4,6,52,3,159,107,69.2,8,21.1,6,446,143,32.1,11.74,3.76,0.12,0.38,16,4,"West Ham 2021",3,1,"West Ham"
2018,57,31030,21,26.1,46.9,4,4,73,1,139,98,69.1,9,23.7,4,471,140,29.7,12.39,3.68,0.09,0.3,17.2,4,"Wolves 2018",0,1,"Wolves"
2019,59,24758,21,26.6,48.3,4,4,61,2,120,80,67.5,13,34.2,3,453,142,31.3,11.92,3.74,0.1,0.32,16.9,4,"Wolves 2019",2,0,"Wolves"
2020,45,237,27,26.3,49.3,4,4,55,1,144,99,68.8,10,26.3,8,462,149,32.3,12.16,3.92,0.06,0.2,17.7,4,"Wolves 2020",1,0,"Wolves"
2021,51,30841,26,27.3,49.6,1,1,62,2,157,124,78.3,11,28.9,10,403,134,33.3,10.61,3.53,0.08,0.25,17.9,1,"Wolves 2021",0,1,"Wolves"
2000,80,67489,28,26.9,NA,2,3,44,3,140,109,77.9,17,44.7,NA,NA,251,NA,NA,6.61,NA,0.3,NA,2,"Manchester Utd 2000",NA,NA,"NA"
2000,70,37974,26,28.3,NA,1,2,48,3,133,95,71.4,17,44.7,NA,NA,267,NA,NA,7.03,NA,0.23,NA,1,"Arsenal 2000",NA,NA,"NA"
2000,69,43698,24,25.4,NA,3,4,53,4,165,126,76.4,14,36.8,NA,NA,228,NA,NA,6,NA,0.29,NA,3,"Liverpool 2000",NA,NA,"NA"
2000,68,38974,24,24.6,NA,3,4,72,3,162,119,73.5,11,28.9,NA,NA,229,NA,NA,6.03,NA,0.26,NA,3,"Leeds United 2000",NA,NA,"NA"
2000,66,22532,23,26.4,NA,3,3,32,2,157,115,73.2,13,34.2,NA,NA,205,NA,NA,5.39,NA,0.26,NA,3,"Ipswich Town 2000",NA,NA,"NA"
2000,61,34700,26,28.1,NA,4,4,75,2,150,105,70,10,26.3,NA,NA,220,NA,NA,5.79,NA,0.29,NA,4,"Chelsea 2000",NA,NA,"NA"
2000,57,46790,27,26.4,NA,2,4,78,5,176,135,76.7,13,34.2,NA,NA,195,NA,NA,5.13,NA,0.23,NA,2,"Sunderland 2000",NA,NA,"NA"
2000,54,31522,22,28,NA,1,1,64,3,166,123,74.1,9,23.7,NA,NA,166,NA,NA,4.37,NA,0.27,NA,1,"Aston Villa 2000",NA,NA,"NA"
2000,52,20022,27,26.8,NA,3,3,47,2,195,137,70.3,14,36.8,NA,NA,216,NA,NA,5.68,NA,0.2,NA,3,"Charlton Ath 2000",NA,NA,"NA"
2000,52,15115,24,27.2,NA,0,0,49,1,182,134,73.6,14,36.8,NA,NA,173,NA,NA,4.55,NA,0.23,NA,0,"Southampton 2000",NA,NA,"NA"
2000,51,51309,28,25.8,NA,5,7,48,5,179,129,72.1,7,18.4,NA,NA,183,NA,NA,4.82,NA,0.2,NA,5,"Newcastle Utd 2000",NA,NA,"NA"
2000,49,35194,29,26.3,NA,3,4,47,3,208,155,74.5,11,28.9,NA,NA,185,NA,NA,4.87,NA,0.23,NA,3,"Tottenham 2000",NA,NA,"NA"
2000,48,20452,29,27.3,NA,3,3,57,2,202,151,74.8,11,28.9,NA,NA,179,NA,NA,4.71,NA,0.2,NA,3,"Leicester City 2000",NA,NA,"NA"
2000,42,30747,27,29.4,NA,3,3,73,6,180,139,77.2,9,23.7,NA,NA,175,NA,NA,4.61,NA,0.23,NA,3,"Middlesbrough 2000",NA,NA,"NA"
